district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
新店區,房地(土地+建物)+車位,新北市新店區達觀路１４巷６號十三樓之四,50.45,,山坡地保育區,丙種建築用地,1110210,土地2建物1車位1,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850710,142.13,3,2,2,有,有,11680000,82178,坡道平面,0,0,陽台外推；,RPUNMLOJLHHGFCF08EA,74.61,0.55,12.23,有
淡水區,土地,水梘頭段百六戛小段10-9地號,47,,國家公園區,,1110223,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,96001,2043,,0,0,地清或未辦繼承標售；,RPQNMLOJLHHGFEF87EA,0,0,0,無
三芝區,土地,茂長段1541地號,1007.12,,山坡地保育區,農牧用地,1110210,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,1510650,1500,,0,0,親友間買賣兄弟親友、員工、共有人或其他特殊關係間之交易；,RPTNMLOJLHHGFEF18EA,0,0,0,無
平溪區,土地,十分寮段望古坑小段116-1地號,2687,,山坡地保育區,農牧用地,1110220,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,6000000,2233,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMJLHHGFFF67EA,0,0,0,無
蘆洲區,房地(土地+建物)+車位,新北市蘆洲區環堤大道３４號三樓,11.9,住,,,1110205,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880727,133.07,2,2,1,有,有,9720000,73044,坡道平面,40.82,0,,RPUNMLNJLHHGFGF38EA,65.31,0,9.43,有
三重區,房地(土地+建物),新北市三重區頂崁街２１０巷７號五樓,30.81,都市：其他:住宅區,,,1110220,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720613,94.09,4,2,2,有,無,9800000,104156,,0,0,,RPRNMLNJLHHGFGF08EA,89.27,0,4.82,無
三峽區,土地,文化段611地號,19.55,商,,,1110225,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2700000,138107,,0,0,,RPWPMLNJLHHGFIF98EA,0,0,0,無
永和區,房地(土地+建物)+車位,新北市永和區永平路３７２號二十四樓,19.3,住,,,1110215,土地1建物1車位1,二十四層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造,1090427,238.78,4,2,2,有,有,46109999,193107,坡道平面,35.78,0,政府機關標讓售；,RPTOMLMJLHHGFHF38EA,124.2,0,17.95,有
中和區,房地(土地+建物),新北市中和區捷運路１０之１號五樓,26.15,,,,1110214,土地1建物1車位0,五層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土構造,1000415,138.65,6,2,2,有,有,25000000,180310,,0,0,夾層；其他增建；,RPVNMLNJLHHGFHF58EA,75.9,2.23,11.01,有
中和區,房地(土地+建物),新北市中和區連城路２６８號五樓之二,48.12,工,,,1110215,土地1建物2車位0,五層,十八層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,900227,488.54,0,0,0,無,有,55000000,112580,,0,0,,RPPOMLNJLHHGFHF08EA,321.04,0,0,有
